Timestamp,Faces Detected,Smile
20250615_234410,1,Smile Detected
20250615_234826,1,Smile Detected
20250615_234826,1,Smile Detected
20250615_234826,1,Smile Detected
20250615_234827,1,Smile Detected
20250615_234827,1,Smile Detected
20250615_234827,1,Smile Detected
20250615_234827,1,Smile Detected
20250615_234827,1,Smile Detected
20250615_234828,1,Smile Detected
20250615_234828,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234932,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234933,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234934,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234935,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234936,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234937,1,Smile Detected
20250615_234942,1,Smile Detected
20250615_234942,1,Smile Detected
20250615_234942,1,Smile Detected
20250615_234942,1,Smile Detected
20250615_234942,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234943,1,Smile Detected
20250615_234944,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235314,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235315,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235316,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235317,1,Smile Detected
20250615_235318,1,Smile Detected
20250615_235318,1,Smile Detected
20250615_235318,1,Smile Detected
